time,gFx,gFy,gFz,gFTotal
2020-07-28 13:59:06.4770,0.111,1.017,-0.024,1.023
2020-07-28 13:59:06.4850,0.124,0.985,-0.039,0.994
2020-07-28 13:59:06.4950,0.111,0.981,-0.044,0.988
2020-07-28 13:59:06.5090,0.098,1.011,-0.032,1.016
2020-07-28 13:59:06.5350,0.111,0.995,-0.04,1.002
2020-07-28 13:59:06.5350,0.111,0.995,-0.04,1.002
2020-07-28 13:59:06.5360,0.111,0.995,-0.04,1.002
2020-07-28 13:59:06.5450,0.101,1.001,-0.037,1.007
2020-07-28 13:59:06.5550,0.106,0.994,-0.04,1.0
2020-07-28 13:59:06.5650,0.111,0.994,-0.044,1.001
2020-07-28 13:59:06.5750,0.118,0.999,-0.043,1.007
2020-07-28 13:59:06.5850,0.119,1.001,-0.044,1.009
2020-07-28 13:59:06.5950,0.114,0.995,-0.046,1.003
2020-07-28 13:59:06.6360,0.119,0.995,-0.04,1.003
2020-07-28 13:59:06.6360,0.119,0.995,-0.04,1.003
2020-07-28 13:59:06.6360,0.119,0.995,-0.04,1.003
2020-07-28 13:59:06.6360,0.119,0.995,-0.04,1.003
2020-07-28 13:59:06.6450,0.113,0.997,-0.042,1.004
2020-07-28 13:59:06.6550,0.104,1.0,-0.041,1.006
2020-07-28 13:59:06.6650,0.101,0.999,-0.04,1.005
2020-07-28 13:59:06.6750,0.109,0.995,-0.044,1.002
2020-07-28 13:59:06.6850,0.119,0.994,-0.049,1.002
2020-07-28 13:59:06.6950,0.123,0.998,-0.041,1.006
2020-07-28 13:59:06.7320,0.105,0.966,-0.051,0.973
2020-07-28 13:59:06.7320,0.105,0.966,-0.051,0.973
2020-07-28 13:59:06.7320,0.105,0.966,-0.051,0.973
2020-07-28 13:59:06.7340,0.103,1.009,-0.033,1.015
2020-07-28 13:59:06.7440,0.123,1.007,-0.041,1.015
2020-07-28 13:59:06.7540,0.141,0.983,-0.039,0.994
2020-07-28 13:59:06.7640,0.134,0.997,-0.024,1.006
2020-07-28 13:59:06.7740,0.121,1.004,-0.032,1.012
2020-07-28 13:59:06.7840,0.108,0.987,-0.038,0.994
2020-07-28 13:59:06.7950,0.085,0.989,-0.043,0.994
2020-07-28 13:59:06.8350,0.123,1.015,-0.09,1.026
2020-07-28 13:59:06.8360,0.123,1.015,-0.09,1.026
2020-07-28 13:59:06.8360,0.123,1.015,-0.09,1.026
2020-07-28 13:59:06.8360,0.123,1.015,-0.09,1.026
2020-07-28 13:59:06.8440,0.122,1.018,-0.081,1.028
2020-07-28 13:59:06.8540,0.103,1.023,-0.083,1.032
2020-07-28 13:59:06.8640,0.093,1.018,-0.074,1.025
2020-07-28 13:59:06.8740,0.082,1.011,-0.053,1.016
2020-07-28 13:59:06.8840,0.071,1.008,-0.065,1.013
2020-07-28 13:59:06.8940,0.078,1.014,-0.075,1.02
2020-07-28 13:59:06.9350,0.101,1.071,-0.154,1.087
2020-07-28 13:59:06.9360,0.101,1.071,-0.154,1.087
2020-07-28 13:59:06.9360,0.101,1.071,-0.154,1.087
2020-07-28 13:59:06.9360,0.101,1.071,-0.154,1.087
2020-07-28 13:59:06.9440,0.055,1.135,-0.131,1.144
2020-07-28 13:59:06.9540,-0.106,1.17,-0.077,1.177
2020-07-28 13:59:06.9640,-0.205,1.18,-0.022,1.198
2020-07-28 13:59:06.9740,-0.194,1.196,0.085,1.215
2020-07-28 13:59:06.9840,-0.077,1.204,0.153,1.216
2020-07-28 13:59:06.9940,0.123,1.225,0.191,1.246
2020-07-28 13:59:07.0360,-0.572,1.595,0.781,1.866
2020-07-28 13:59:07.0360,-0.572,1.595,0.781,1.866
2020-07-28 13:59:07.0360,-0.572,1.595,0.781,1.866
2020-07-28 13:59:07.0360,-0.572,1.595,0.781,1.866
2020-07-28 13:59:07.0440,-0.804,1.685,0.629,1.97
2020-07-28 13:59:07.0540,-0.805,1.818,0.379,2.024
2020-07-28 13:59:07.0640,-0.495,1.799,0.206,1.877
2020-07-28 13:59:07.0740,-0.1,1.626,0.068,1.63
2020-07-28 13:59:07.0840,0.15,1.447,-0.072,1.457
2020-07-28 13:59:07.0940,0.254,1.255,-0.15,1.289
2020-07-28 13:59:07.1340,0.296,0.106,-0.416,0.521
2020-07-28 13:59:07.1350,0.296,0.106,-0.416,0.521
2020-07-28 13:59:07.1350,0.296,0.106,-0.416,0.521
2020-07-28 13:59:07.1350,0.296,0.106,-0.416,0.521
2020-07-28 13:59:07.1430,0.383,-0.116,-0.468,0.616
2020-07-28 13:59:07.1530,0.415,-0.274,-0.45,0.671
2020-07-28 13:59:07.1630,0.373,-0.334,-0.387,0.633
2020-07-28 13:59:07.1730,0.259,-0.27,-0.257,0.454
2020-07-28 13:59:07.1830,0.014,-0.127,-0.066,0.144
2020-07-28 13:59:07.1940,-0.305,-0.015,0.153,0.342
2020-07-28 13:59:07.2350,-1.239,-0.008,0.811,1.481
2020-07-28 13:59:07.2360,-1.239,-0.008,0.811,1.481
2020-07-28 13:59:07.2360,-1.239,-0.008,0.811,1.481
2020-07-28 13:59:07.2360,-1.239,-0.008,0.811,1.481
2020-07-28 13:59:07.2430,-1.153,0.052,0.767,1.386
2020-07-28 13:59:07.2530,-0.96,0.056,0.634,1.152
2020-07-28 13:59:07.2630,-0.95,-0.05,0.8,1.243
2020-07-28 13:59:07.2730,-1.179,0.037,0.122,1.186
2020-07-28 13:59:07.2830,0.631,0.647,0.193,0.924
2020-07-28 13:59:07.2940,0.913,2.165,0.353,2.376
2020-07-28 13:59:07.3340,-0.18,2.097,0.019,2.105
2020-07-28 13:59:07.3350,-0.18,2.097,0.019,2.105
2020-07-28 13:59:07.3350,-0.18,2.097,0.019,2.105
2020-07-28 13:59:07.3350,-0.18,2.097,0.019,2.105
2020-07-28 13:59:07.3430,-0.358,2.154,0.522,2.245
2020-07-28 13:59:07.3530,-0.429,1.654,0.613,1.815
2020-07-28 13:59:07.3630,-0.262,1.395,0.433,1.484
2020-07-28 13:59:07.3730,-0.04,1.423,0.298,1.454
2020-07-28 13:59:07.3830,0.189,1.363,0.23,1.395
2020-07-28 13:59:07.3930,0.204,1.331,0.217,1.364
2020-07-28 13:59:07.4350,0.183,1.766,0.286,1.798
2020-07-28 13:59:07.4350,0.183,1.766,0.286,1.798
2020-07-28 13:59:07.4350,0.183,1.766,0.286,1.798
2020-07-28 13:59:07.4350,0.183,1.766,0.286,1.798
2020-07-28 13:59:07.4430,0.395,1.657,0.059,1.704
2020-07-28 13:59:07.4520,0.657,1.667,-0.17,1.8
2020-07-28 13:59:07.4630,0.829,1.607,-0.37,1.846
2020-07-28 13:59:07.4720,0.738,1.412,-0.422,1.648
2020-07-28 13:59:07.4830,0.556,1.3,-0.299,1.445
2020-07-28 13:59:07.4930,0.359,1.319,-0.094,1.37
2020-07-28 13:59:07.5310,-1.285,1.675,0.482,2.165
2020-07-28 13:59:07.5320,-1.285,1.675,0.482,2.165
2020-07-28 13:59:07.5320,-1.285,1.675,0.482,2.165
2020-07-28 13:59:07.5330,-1.38,1.977,0.43,2.449
2020-07-28 13:59:07.5420,-1.008,2.14,0.371,2.394
2020-07-28 13:59:07.5520,-0.633,2.194,0.29,2.302
2020-07-28 13:59:07.5620,-0.29,2.066,0.266,2.103
2020-07-28 13:59:07.5720,-0.028,1.619,0.338,1.654
2020-07-28 13:59:07.5820,0.002,0.884,0.416,0.977
2020-07-28 13:59:07.5920,-0.061,0.131,0.449,0.472
2020-07-28 13:59:07.6350,-0.124,-3.062,-0.338,3.083
2020-07-28 13:59:07.6350,-0.124,-3.062,-0.338,3.083
2020-07-28 13:59:07.6350,-0.124,-3.062,-0.338,3.083
2020-07-28 13:59:07.6360,-0.124,-3.062,-0.338,3.083
2020-07-28 13:59:07.6420,0.142,-3.548,-0.656,3.611
2020-07-28 13:59:07.6520,0.549,-3.356,-0.821,3.498
2020-07-28 13:59:07.6620,0.754,-2.657,-0.828,2.883
2020-07-28 13:59:07.6720,0.654,-2.127,-0.679,2.327
2020-07-28 13:59:07.6820,0.477,-1.719,-0.338,1.816
2020-07-28 13:59:07.6920,0.343,-1.279,-0.076,1.326
2020-07-28 13:59:07.7310,-0.807,0.855,0.369,1.232
2020-07-28 13:59:07.7310,-0.807,0.855,0.369,1.232
2020-07-28 13:59:07.7320,-0.807,0.855,0.369,1.232
2020-07-28 13:59:07.7330,-1.412,1.552,1.653,2.671
2020-07-28 13:59:07.7420,-6.594,4.482,2.801,8.451
2020-07-28 13:59:07.7520,-4.046,6.829,1.201,8.028
2020-07-28 13:59:07.7620,2.798,2.783,-0.315,3.959
2020-07-28 13:59:07.7720,2.23,2.681,-0.265,3.497
2020-07-28 13:59:07.7820,2.105,2.762,-1.66,3.849
2020-07-28 13:59:07.7920,3.385,1.456,-0.489,3.717
2020-07-28 13:59:07.8290,-0.356,2.301,0.726,2.439
2020-07-28 13:59:07.8290,-0.356,2.301,0.726,2.439
2020-07-28 13:59:07.8290,-0.356,2.301,0.726,2.439
2020-07-28 13:59:07.8320,0.227,1.468,0.184,1.497
2020-07-28 13:59:07.8420,0.722,2.205,0.065,2.321
2020-07-28 13:59:07.8510,1.189,2.901,-0.12,3.138
2020-07-28 13:59:07.8620,1.802,3.066,-0.188,3.561
2020-07-28 13:59:07.8710,1.815,2.767,-0.169,3.313
2020-07-28 13:59:07.8820,1.24,2.17,-0.021,2.499
2020-07-28 13:59:07.8910,0.501,1.765,0.257,1.853
2020-07-28 13:59:07.9310,0.177,1.443,-0.293,1.483
2020-07-28 13:59:07.9320,0.177,1.443,-0.293,1.483
2020-07-28 13:59:07.9320,0.177,1.443,-0.293,1.483
2020-07-28 13:59:07.9330,0.177,1.443,-0.293,1.483
2020-07-28 13:59:07.9410,0.185,1.652,-0.306,1.69
2020-07-28 13:59:07.9510,0.645,1.173,-0.263,1.364
2020-07-28 13:59:07.9610,0.886,0.363,-0.301,1.004
2020-07-28 13:59:07.9710,0.805,-0.45,-0.334,0.981
2020-07-28 13:59:07.9810,0.496,-1.267,-0.285,1.39
2020-07-28 13:59:07.9920,-0.119,-2.002,0.045,2.006
2020-07-28 13:59:08.0340,-2.042,-2.056,1.149,3.117
2020-07-28 13:59:08.0340,-2.042,-2.056,1.149,3.117
2020-07-28 13:59:08.0340,-2.042,-2.056,1.149,3.117
2020-07-28 13:59:08.0340,-2.042,-2.056,1.149,3.117
2020-07-28 13:59:08.0410,-1.574,-1.507,1.07,2.428
2020-07-28 13:59:08.0510,-1.527,-0.943,1.005,2.057
2020-07-28 13:59:08.0610,-1.608,-0.406,1.006,1.94
2020-07-28 13:59:08.0710,-1.655,-0.006,1.067,1.969
2020-07-28 13:59:08.0810,-1.765,0.318,1.115,2.112
2020-07-28 13:59:08.0910,-1.929,0.572,1.019,2.255
2020-07-28 13:59:08.1320,1.465,3.278,-0.124,3.593
2020-07-28 13:59:08.1320,1.465,3.278,-0.124,3.593
2020-07-28 13:59:08.1330,1.465,3.278,-0.124,3.593
2020-07-28 13:59:08.1330,1.465,3.278,-0.124,3.593
2020-07-28 13:59:08.1410,1.864,4.339,-0.373,4.737
2020-07-28 13:59:08.1510,1.852,2.341,-1.083,3.175
2020-07-28 13:59:08.1610,1.469,0.969,-0.236,1.776
2020-07-28 13:59:08.1710,0.343,1.87,0.707,2.028
2020-07-28 13:59:08.1810,-0.51,2.452,1.226,2.788
2020-07-28 13:59:08.1910,-0.57,1.97,0.825,2.211
2020-07-28 13:59:08.2350,1.121,2.751,0.154,2.975
2020-07-28 13:59:08.2350,1.121,2.751,0.154,2.975
2020-07-28 13:59:08.2350,1.121,2.751,0.154,2.975
2020-07-28 13:59:08.2360,1.121,2.751,0.154,2.975
2020-07-28 13:59:08.2410,1.568,2.986,0.162,3.377
2020-07-28 13:59:08.2500,1.68,2.851,-0.039,3.309
2020-07-28 13:59:08.2620,1.544,2.571,-0.295,3.013
2020-07-28 13:59:08.2700,1.293,2.205,-0.436,2.593
2020-07-28 13:59:08.2810,0.842,1.642,-0.354,1.879
2020-07-28 13:59:08.2910,0.151,1.238,-0.056,1.248
2020-07-28 13:59:08.3300,-0.917,1.251,-0.004,1.551
2020-07-28 13:59:08.3300,-0.957,1.26,0.124,1.587
2020-07-28 13:59:08.3300,-0.957,1.26,0.124,1.587
2020-07-28 13:59:08.3320,-0.957,1.26,0.124,1.587
2020-07-28 13:59:08.3400,-0.791,1.198,-0.084,1.438
2020-07-28 13:59:08.3500,-0.374,1.1,-0.316,1.204
2020-07-28 13:59:08.3600,-0.021,0.99,-0.361,1.054
2020-07-28 13:59:08.3700,0.157,0.761,-0.412,0.879
2020-07-28 13:59:08.3800,0.138,0.34,-0.504,0.623
2020-07-28 13:59:08.3900,-0.078,-0.214,-0.471,0.523
2020-07-28 13:59:08.4330,-1.103,-3.363,-0.148,3.542
2020-07-28 13:59:08.4330,-1.103,-3.363,-0.148,3.542
2020-07-28 13:59:08.4340,-1.103,-3.363,-0.148,3.542
2020-07-28 13:59:08.4340,-1.103,-3.363,-0.148,3.542
2020-07-28 13:59:08.4400,-1.068,-3.595,-0.145,3.753
2020-07-28 13:59:08.4500,-0.707,-3.022,-0.096,3.105
2020-07-28 13:59:08.4600,-0.491,-2.336,-0.11,2.39
2020-07-28 13:59:08.4700,-0.509,-1.822,-0.042,1.892
2020-07-28 13:59:08.4800,-0.681,-1.297,0.096,1.468
2020-07-28 13:59:08.4900,-0.748,-0.794,0.262,1.122
2020-07-28 13:59:08.5330,-1.223,1.26,1.274,2.169
2020-07-28 13:59:08.5330,-1.223,1.26,1.274,2.169
2020-07-28 13:59:08.5330,-1.223,1.26,1.274,2.169
2020-07-28 13:59:08.5340,-1.223,1.26,1.274,2.169
2020-07-28 13:59:08.5400,-3.253,1.98,1.406,4.059
2020-07-28 13:59:08.5500,-1.413,3.648,0.845,4.002
2020-07-28 13:59:08.5600,1.651,5.307,0.887,5.628
2020-07-28 13:59:08.5700,2.729,4.222,1.074,5.141
2020-07-28 13:59:08.5800,1.887,1.99,-0.285,2.757
2020-07-28 13:59:08.5900,2.215,1.019,0.117,2.441
2020-07-28 13:59:08.6310,-0.225,1.47,0.057,1.488
2020-07-28 13:59:08.6310,-0.225,1.47,0.057,1.488
2020-07-28 13:59:08.6320,-0.225,1.47,0.057,1.488
2020-07-28 13:59:08.6320,-0.225,1.47,0.057,1.488
2020-07-28 13:59:08.6390,0.15,1.563,0.018,1.57
2020-07-28 13:59:08.6490,0.926,2.866,0.276,3.025
2020-07-28 13:59:08.6600,1.895,3.658,0.408,4.14
2020-07-28 13:59:08.6690,2.06,2.932,0.125,3.586
2020-07-28 13:59:08.6790,1.653,2.157,-0.076,2.719
2020-07-28 13:59:08.6900,1.196,2.038,-0.046,2.363
2020-07-28 13:59:08.7330,-0.871,2.144,0.16,2.32
2020-07-28 13:59:08.7340,-0.871,2.144,0.16,2.32
2020-07-28 13:59:08.7340,-0.871,2.144,0.16,2.32
2020-07-28 13:59:08.7340,-0.871,2.144,0.16,2.32
2020-07-28 13:59:08.7390,-0.553,2.2,0.027,2.269
2020-07-28 13:59:08.7490,-0.32,2.072,-0.314,2.12
2020-07-28 13:59:08.7590,0.172,1.851,-0.629,1.963
2020-07-28 13:59:08.7690,0.702,1.612,-0.714,1.898
2020-07-28 13:59:08.7790,1.036,1.143,-0.736,1.709
2020-07-28 13:59:08.7890,1.029,0.344,-0.666,1.273
2020-07-28 13:59:08.8320,-0.196,-4.074,-0.47,4.106
2020-07-28 13:59:08.8320,-0.196,-4.074,-0.47,4.106
2020-07-28 13:59:08.8330,-0.196,-4.074,-0.47,4.106
2020-07-28 13:59:08.8330,-0.196,-4.074,-0.47,4.106
2020-07-28 13:59:08.8390,-0.628,-4.793,-0.176,4.837
2020-07-28 13:59:08.8490,-0.741,-3.71,0.139,3.786
2020-07-28 13:59:08.8590,-0.598,-2.958,0.157,3.022
2020-07-28 13:59:08.8690,-0.872,-2.706,-0.021,2.843
2020-07-28 13:59:08.8790,-1.134,-1.885,-0.067,2.201
2020-07-28 13:59:08.8890,-1.286,-0.944,0.257,1.616
2020-07-28 13:59:08.9300,-2.372,1.528,1.488,3.19
2020-07-28 13:59:08.9300,-2.372,1.528,1.488,3.19
2020-07-28 13:59:08.9300,-2.372,1.528,1.488,3.19
2020-07-28 13:59:08.9300,-2.372,1.528,1.488,3.19
2020-07-28 13:59:08.9390,-2.199,1.417,1.47,3.001
2020-07-28 13:59:08.9490,-2.177,1.055,1.117,2.665
2020-07-28 13:59:08.9580,-2.265,1.507,0.338,2.741
2020-07-28 13:59:08.9680,1.063,2.836,-0.292,3.043
2020-07-28 13:59:08.9790,2.882,4.853,0.812,5.702
2020-07-28 13:59:08.9890,2.775,4.332,0.428,5.162
2020-07-28 13:59:09.0280,-0.73,3.345,0.219,3.431
2020-07-28 13:59:09.0290,-0.73,3.345,0.219,3.431
2020-07-28 13:59:09.0290,-0.73,3.345,0.219,3.431
2020-07-28 13:59:09.0300,-0.73,3.345,0.219,3.431
2020-07-28 13:59:09.0390,-0.241,2.298,-0.004,2.311
2020-07-28 13:59:09.0480,-0.129,1.435,0.27,1.466
2020-07-28 13:59:09.0580,0.351,1.875,0.477,1.966
2020-07-28 13:59:09.0680,0.979,2.964,0.401,3.147
2020-07-28 13:59:09.0780,1.585,3.126,0.378,3.525
2020-07-28 13:59:09.0880,1.717,2.337,0.189,2.906
2020-07-28 13:59:09.1280,0.597,2.175,0.339,2.281
2020-07-28 13:59:09.1290,0.597,2.175,0.339,2.281
2020-07-28 13:59:09.1290,0.597,2.175,0.339,2.281
2020-07-28 13:59:09.1300,0.597,2.175,0.339,2.281
2020-07-28 13:59:09.1380,-0.587,2.005,0.64,2.185
2020-07-28 13:59:09.1480,-1.392,2.236,0.467,2.675
2020-07-28 13:59:09.1580,-1.541,2.417,0.237,2.876
2020-07-28 13:59:09.1680,-1.279,2.252,0.148,2.594
2020-07-28 13:59:09.1780,-0.818,2.156,-0.217,2.316
2020-07-28 13:59:09.1890,-0.143,2.073,-0.401,2.116
2020-07-28 13:59:09.2340,0.478,-0.317,-0.34,0.667
2020-07-28 13:59:09.2350,0.478,-0.317,-0.34,0.667
2020-07-28 13:59:09.2350,0.478,-0.317,-0.34,0.667
2020-07-28 13:59:09.2350,0.478,-0.317,-0.34,0.667
2020-07-28 13:59:09.2380,0.489,-1.321,-0.037,1.409
2020-07-28 13:59:09.2480,0.408,-2.393,0.09,2.429
2020-07-28 13:59:09.2580,0.332,-3.63,-0.082,3.646
2020-07-28 13:59:09.2680,0.162,-4.63,-0.351,4.646
2020-07-28 13:59:09.2780,0.352,-4.724,-0.42,4.756
2020-07-28 13:59:09.2880,0.582,-3.775,-0.383,3.839
2020-07-28 13:59:09.3270,-0.647,-2.381,-0.191,2.475
2020-07-28 13:59:09.3270,-0.647,-2.381,-0.191,2.475
2020-07-28 13:59:09.3280,-0.839,-1.741,0.13,1.937
2020-07-28 13:59:09.3290,-0.839,-1.741,0.13,1.937
2020-07-28 13:59:09.3380,-1.13,-1.14,0.557,1.699
2020-07-28 13:59:09.3470,-1.441,-0.615,0.732,1.729
2020-07-28 13:59:09.3580,-1.49,-0.158,0.639,1.629
2020-07-28 13:59:09.3670,-1.316,0.307,0.594,1.476
2020-07-28 13:59:09.3780,-1.128,0.957,0.369,1.525
2020-07-28 13:59:09.3880,-0.938,1.989,0.039,2.199
2020-07-28 13:59:09.4300,3.645,1.742,1.666,4.37
2020-07-28 13:59:09.4300,3.645,1.742,1.666,4.37
2020-07-28 13:59:09.4300,3.645,1.742,1.666,4.37
2020-07-28 13:59:09.4310,3.645,1.742,1.666,4.37
2020-07-28 13:59:09.4370,1.63,1.767,-0.914,2.572
2020-07-28 13:59:09.4470,2.272,2.137,-1.45,3.44
2020-07-28 13:59:09.4570,1.28,3.967,-0.811,4.247
2020-07-28 13:59:09.4670,-0.442,3.962,0.255,3.995
2020-07-28 13:59:09.4770,-0.47,1.714,0.513,1.85
2020-07-28 13:59:09.4870,-0.32,0.933,0.14,0.996
2020-07-28 13:59:09.5300,2.059,1.885,0.298,2.807
2020-07-28 13:59:09.5300,2.059,1.885,0.298,2.807
2020-07-28 13:59:09.5300,2.059,1.885,0.298,2.807
2020-07-28 13:59:09.5300,2.059,1.885,0.298,2.807
2020-07-28 13:59:09.5370,1.483,2.277,0.209,2.725
2020-07-28 13:59:09.5470,1.248,2.724,0.249,3.007
2020-07-28 13:59:09.5570,0.891,2.952,0.607,3.143
2020-07-28 13:59:09.5670,0.105,2.885,0.907,3.026
2020-07-28 13:59:09.5770,-0.898,2.748,0.922,3.034
2020-07-28 13:59:09.5870,-1.456,2.682,0.326,3.069
2020-07-28 13:59:09.6260,-0.12,2.165,-0.437,2.212
2020-07-28 13:59:09.6270,-0.12,2.165,-0.437,2.212
2020-07-28 13:59:09.6270,0.609,1.808,-0.356,1.941
2020-07-28 13:59:09.6280,0.609,1.808,-0.356,1.941
2020-07-28 13:59:09.6370,0.87,0.928,-0.046,1.273
2020-07-28 13:59:09.6470,0.775,-0.329,0.009,0.842
2020-07-28 13:59:09.6570,0.74,-1.951,0.266,2.104
2020-07-28 13:59:09.6670,0.456,-4.43,-0.058,4.454
2020-07-28 13:59:09.6770,-0.567,-7.353,-0.618,7.401
2020-07-28 13:59:09.6870,-0.761,-5.336,-0.141,5.392
2020-07-28 13:59:09.7300,-0.402,-2.369,-0.698,2.502
2020-07-28 13:59:09.7300,-0.402,-2.369,-0.698,2.502
